,time,value
582,0.582,2630
583,0.583,2632
584,0.584,2635
585,0.585,2639
586,0.586,2645
587,0.587,2651
588,0.588,2653
589,0.589,2695
590,0.59,2697
591,0.591,2701
592,0.592,2707
593,0.593,2709
594,0.594,2713
595,0.595,2715
596,0.596,2718
597,0.597,2720
598,0.598,2723
599,0.599,2725
600,0.6,2727
601,0.601,2729
602,0.602,2732
603,0.603,2735
604,0.604,2738
605,0.605,2742
606,0.606,2747
607,0.607,2751
608,0.608,2755
609,0.609,2760
610,0.61,2763
611,0.611,2765
612,0.612,2767
613,0.613,2770
614,0.614,2773
615,0.615,2777
616,0.616,2779
617,0.617,2781
618,0.618,2785
619,0.619,3078
620,0.62,3080
621,0.621,3083
622,0.622,3085
623,0.623,3088
624,0.624,3091
625,0.625,3093
626,0.626,3096
627,0.627,3099
628,0.628,3101
629,0.629,3104
630,0.63,3107
631,0.631,3109
632,0.632,3111
633,0.633,3115
634,0.634,3120
635,0.635,3127
636,0.636,3131
637,0.637,3135
638,0.638,3143
639,0.639,3153
640,0.64,3161
641,0.641,3169
642,0.642,3179
643,0.643,3188
644,0.644,3196
645,0.645,3205
646,0.646,3214
647,0.647,3220
648,0.648,3227
649,0.649,3783
650,0.65,3785
651,0.651,3789
652,0.652,3793
653,0.653,3795
654,0.654,3798
655,0.655,3801
656,0.656,3803
657,0.657,3805
658,0.658,3808
659,0.659,3811
660,0.66,3813
661,0.661,3816
662,0.662,3819
663,0.663,3821
664,0.664,3823
665,0.665,3825
666,0.666,3829
667,0.667,3831
668,0.668,3834
669,0.669,3839
670,0.67,3844
671,0.671,3847
672,0.672,3851
673,0.673,3853
674,0.674,3857
675,0.675,3859
676,0.676,3865
677,0.677,3869
678,0.678,3873
679,0.679,4084
680,0.68,4086
681,0.681,4089
682,0.682,4093
683,0.683,4096
684,0.684,4099
685,0.685,4105
686,0.686,4110
687,0.687,4111
688,0.6880000000000001,4114
689,0.6890000000000001,4117
690,0.6900000000000001,4128
691,0.6910000000000001,4139
692,0.6920000000000001,4147
693,0.6930000000000001,4159
694,0.6940000000000001,4169
695,0.6950000000000001,4179
696,0.6960000000000001,4189
697,0.6970000000000001,4199
698,0.6980000000000001,4209
699,0.6990000000000001,4219
700,0.7000000000000001,4231
701,0.7010000000000001,4243
702,0.7020000000000001,4253
703,0.7030000000000001,4263
704,0.704,4269
705,0.705,4279
706,0.706,4288
707,0.707,4297
708,0.708,4307
709,0.709,4503
710,0.71,4505
711,0.711,4507
712,0.712,4510
713,0.713,4513
714,0.714,4515
715,0.715,4518
716,0.716,4521
717,0.717,4523
718,0.718,4525
719,0.719,4528
720,0.72,4530
721,0.721,4533
722,0.722,4535
723,0.723,4538
724,0.724,4541
725,0.725,4543
726,0.726,4546
727,0.727,4549
728,0.728,4553
729,0.729,4555
730,0.73,4557
731,0.731,4561
732,0.732,4563
733,0.733,4567
734,0.734,4571
735,0.735,4579
736,0.736,4589
737,0.737,4597
738,0.738,4605
739,0.739,4857
740,0.74,4859
741,0.741,4862
742,0.742,4864
743,0.743,4867
744,0.744,4869
745,0.745,4872
746,0.746,4875
747,0.747,4877
748,0.748,4879
749,0.749,4883
750,0.75,4885
751,0.751,4887
752,0.752,4890
753,0.753,4893
754,0.754,4895
755,0.755,4898
756,0.756,4900
757,0.757,4903
758,0.758,4905
759,0.759,4909
760,0.76,4911
761,0.761,4914
762,0.762,4917
763,0.763,4919
764,0.764,4922
765,0.765,4925
766,0.766,4933
767,0.767,4941
768,0.768,4951
769,0.769,5255
770,0.77,5257
771,0.771,5260
772,0.772,5263
773,0.773,5265
774,0.774,5268
775,0.775,5270
776,0.776,5273
777,0.777,5275
778,0.778,5278
779,0.779,5281
780,0.78,5283
781,0.781,5286
782,0.782,5288
783,0.783,5291
784,0.784,5293
785,0.785,5296
786,0.786,5299
787,0.787,5301
788,0.788,5303
789,0.789,5305
790,0.79,5308
791,0.791,5311
792,0.792,5313
793,0.793,5315
794,0.794,5319
795,0.795,5321
796,0.796,5323
797,0.797,5326
798,0.798,5333
799,0.799,5343
800,0.8,5351
801,0.801,5359
802,0.802,5369
803,0.803,5379
804,0.804,5389
805,0.805,5397
806,0.806,5407
807,0.807,5416
808,0.808,5425
809,0.809,5433
810,0.81,5440
811,0.811,5449
812,0.812,5457
813,0.8130000000000001,5467
814,0.8140000000000001,5477
815,0.8150000000000001,5484
816,0.8160000000000001,5493
817,0.8170000000000001,5501
818,0.8180000000000001,5511
819,0.8190000000000001,5519
820,0.8200000000000001,5529
821,0.8210000000000001,5539
822,0.8220000000000001,5546
823,0.8230000000000001,5553
824,0.8240000000000001,5563
825,0.8250000000000001,5573
826,0.8260000000000001,5581
827,0.8270000000000001,5589
828,0.8280000000000001,5592
829,0.8290000000000001,6083
830,0.8300000000000001,6085
831,0.8310000000000001,6088
832,0.8320000000000001,6091
833,0.833,6093
834,0.834,6096
835,0.835,6099
836,0.836,6101
837,0.837,6103
838,0.838,6105
839,0.839,6108
840,0.84,6110
841,0.841,6113
842,0.842,6115
843,0.843,6118
844,0.844,6121
845,0.845,6123
846,0.846,6125
847,0.847,6127
848,0.848,6129
849,0.849,6131
850,0.85,6134
851,0.851,6136
852,0.852,6139
853,0.853,6143
854,0.854,6145
855,0.855,6147
856,0.856,6150
857,0.857,6152
858,0.858,6155
859,0.859,6441
860,0.86,6447
861,0.861,6449
862,0.862,6452
863,0.863,6454
864,0.864,6457
865,0.865,6459
866,0.866,6461
867,0.867,6465
868,0.868,6467
869,0.869,6469
870,0.87,6473
871,0.871,6475
872,0.872,6479
873,0.873,6482
874,0.874,6485
875,0.875,6487
876,0.876,6490
877,0.877,6493
878,0.878,6496
879,0.879,6499
880,0.88,6501
881,0.881,6505
882,0.882,6508
883,0.883,6510
884,0.884,6513
885,0.885,6523
886,0.886,6529
887,0.887,6537
888,0.888,6545
889,0.889,6844
890,0.89,6846
891,0.891,6849
892,0.892,6851
893,0.893,6853
894,0.894,6857
895,0.895,6859
896,0.896,6861
897,0.897,6864
898,0.898,6866
899,0.899,6869
900,0.9,6871
901,0.901,6874
902,0.902,6877
903,0.903,6879
904,0.904,6881
905,0.905,6884
906,0.906,6887
907,0.907,6893
908,0.908,6895
909,0.909,6898
910,0.91,6900
911,0.911,6903
912,0.912,6905
913,0.913,6908
914,0.914,6911
915,0.915,6913
916,0.916,6916
917,0.917,6918
918,0.918,6927
919,0.919,7210
920,0.92,7212
921,0.921,7215
922,0.922,7217
923,0.923,7219
924,0.924,7222
925,0.925,7225
926,0.926,7227
927,0.927,7229
928,0.928,7232
929,0.929,7235
930,0.93,7237
931,0.931,7239
932,0.932,7242
933,0.933,7244
934,0.934,7247
935,0.935,7249
936,0.936,7251
937,0.937,7253
938,0.9380000000000001,7256
939,0.9390000000000001,7259
940,0.9400000000000001,7262
941,0.9410000000000001,7264
942,0.9420000000000001,7267
943,0.9430000000000001,7273
944,0.9440000000000001,7276
945,0.9450000000000001,7281
946,0.9460000000000001,7286
947,0.9470000000000001,7289
948,0.9480000000000001,7299
949,0.9490000000000001,7553
950,0.9500000000000001,7555
951,0.9510000000000001,7558
952,0.9520000000000001,7560
953,0.9530000000000001,7562
954,0.9540000000000001,7565
955,0.9550000000000001,7567
956,0.9560000000000001,7569
957,0.9570000000000001,7572
958,0.9580000000000001,7574
959,0.9590000000000001,7577
960,0.96,7583
961,0.961,7585
962,0.962,7587
963,0.963,7590
964,0.964,7593
965,0.965,7595
966,0.966,7597
967,0.967,7600
968,0.968,7602
969,0.969,7605
970,0.97,7607
971,0.971,7609
972,0.972,7612
973,0.973,7615
974,0.974,7621
975,0.975,7623
976,0.976,7625
977,0.977,7628
978,0.978,7631
979,0.979,7935
980,0.98,7937
981,0.981,7940
982,0.982,7942
983,0.983,7944
984,0.984,7947
985,0.985,7950
986,0.986,7953
987,0.987,7955
988,0.988,7958
989,0.989,7961
990,0.99,7964
991,0.991,7967
992,0.992,7969
993,0.993,7971
994,0.994,7973
995,0.995,7975
996,0.996,7977
997,0.997,7979
998,0.998,7982
999,0.999,7985
